title,display_name,short
book,book,book
archival document,archival document,archival%20document
city document,city document,city%20document
commonwealth document,commonwealth document,commonwealth%20document
corporate document,corporate document,corporate%20document
data sheet,data sheet,data%20sheet
federal document,federal document,federal%20document
image,image,image
interview transcript,interview transcript,interview%20transcript
legal document,legal document,legal%20document
metropolitan document,metropolitan document,metropolitan%20document
NGO document,NGO document,NGO%20document
research article,research article,research%20article
reference work,reference work,reference%20work
university document,university document,university%20document
video,video,video

